id,title,price,image,description
18,"Parfum Karpet Masjid Solventbase 1 Liter",65000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/10/8/13ef92af-f684-4057-a2a3-93ffba148d82.jpg.webp?ect=4g","Produk ini menggunakan bahan dasar pelarut (solvent) yang aman digunakan di area masjid."
19,"Sabun Mandi Cair Isi Ulang 1 Liter",17500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/8/e7cb7725-0adc-4a58-9006-39f1a4987d07.jpg.webp?ect=4g","Salah satu produk perawatan kulit yang semakin populer adalah sabun mandi cair (body wash)."
20,"Sabun Batang Lerak Pembersih",9500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/18/79d9a786-43f6-4c1b-b047-e6b3445bee4f.jpg.webp?ect=4g","Sabun batang lerak adalah jenis sabun tradisional Indonesia yang terbuat dari ekstrak akar tanaman lerak."
21,"Alkholisi Plain Detergent Sabun Haji dan Umroh",15500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/5/719e343a-b80a-4a3d-9d25-8d438162403e.jpg.webp","Sabun ini dirancang khusus untuk memenuhi kebutuhan haji dan umroh, dengan komposisi yang aman dan alami."
22,"Bibit Parfum Body Asli Vanilla 100 ml",55000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/14/62db28b5-d6b2-4f1b-b049-a3651e2f7a63.jpg.webp","Bibit parfum body dengan ukuran 100 ml hadir dengan varian aroma yang beragam."
23,"Stiker Siap Pakai Sabun Cuci Piring Isi 30 pcs",17000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/14/389c34d2-ce56-4117-aca1-20a0877c05c7.jpg.webp","Stiker siap pakai untuk kebutuhan rumah tangga ini sangat cocok untuk Anda yang ingin mempermudah aktivitas sehari-hari."
24,"Sabun Batang Cuci Pelok Warna-Warni",55000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/12/9dc593cb-3e3f-4c5f-9252-313ac9be4e0f.jpg.webp","Sabun batang cuci pelok warna-warni aneka wangi 1 pak isi 12 batang (1 lusin) dengan berat kurang lebih 150 gram."
25,"Sampo Shampoo Mobil dan Motor 1 Liter",15500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/3/003705c7-01cb-48a9-bcf7-39b7f898806b.jpg.webp","Membersihkan kendaraan adalah hal penting untuk menjaga penampilan dan kondisi mobil maupun motor agar tetap terawat."
26,"Shampoo Mobil Motor Ukuran 5 Liter",49500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/2/b2f5ca9b-07c4-41b7-93f4-dbd6a6637749.jpg.webp","Shampoo mobil-motor ukuran 5 liter merupakan pilihan yang tepat baik untuk keperluan bisnis carwash maupun penggunaan pribadi."
27,"Sabun Lerak Ramah Lingkungan 1 Liter",24500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/8/d7956111-eb65-45c8-8020-6af3b3fe21b2.jpg.webp","Salah satu kunci utama dalam merawat kain batik adalah penggunaan sabun yang tepat."
28,"Bahan Sabun Mandi Batang Putih",30000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/29/b0893018-2a42-4366-b5a0-0bec8720bc57.jpg.webp","Sabun mandi batang putih atau white chip soap merupakan salah satu jenis sabun mandi yang semakin populer di kalangan pecinta produk perawatan kulit alami."
29,"Karbol Pinus Pembersih 1200 ml",9500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/28/f841f0e8-f223-46e9-b6ea-0cff32a36692.jpg.webp","Karbol pinus memiliki kemampuan untuk membunuh kuman dan bakteri yang ada di lantai."
30,"Biang Karbol Sereh Pinus 5 Liter Dihitung 1 kg",25000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/26/3c8445ba-4b02-48c4-91df-71b380d5c2d3.jpg.webp","Biang karbol tersedia dalam berbagai varian aroma, seperti aroma sereh dan aroma pinus."
31,"Karbol Aroma Sereh dan Pinus 1 Liter",6000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/26/f2dca96e-098c-4a15-ab2b-8cb871c6ec0a.jpg.webp","Karbol ini tidak hanya berfungsi sebagai pembersih, namun juga memiliki beberapa manfaat tambahan yang dapat membantu menjaga kebersihan dan kenyamanan."
32,"Parfum Laundry Aroma Aquafresh Isi 5 Liter",163000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/26/b640aadf-8e45-4484-b598-1b5d5982d89e.jpg.webp","Parfum ini dirancang untuk memberikan wangi yang tahan lama pada pakaian."
33,"Parfum Karpet Masjid WB Aroma Timur Tengah",55000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/21/2bc44f81-6b11-41ed-874e-5e001f76699e.jpg.webp","Parfum karpet masjid waterbase dengan aneka aroma khas Timur Tengah."
34,"Sabun Batang Padat Transparan Chip Base",14500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/19/e0ad196d-a3a3-4f55-bc2a-bc33cca6d9ca.jpg.webp","Sabun batang padat transparan dengan kualitas cosmetic grade dalam ukuran 100 gram."
35,"Parfum Karpet Masjid WB Bonus Karbol",275000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/19/06f72511-4a0d-4212-a59c-4452c37f65fb.jpg.webp","Parfum karpet masjid waterbase dengan aroma Timur Tengah yang disertai bonus karbol sereh atau pinus."
36,"Parfum Karpet Masjid SB Bonus Karbol",325000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/19/399033f4-13af-4052-a553-1da26c9671ee.jpg.webp","Parfum karpet masjid solventbase dengan aroma khas Timur Tengah, ditambah dengan bonus karbol."
37,"LASF Bahan Pembusa Sabun 1 Liter",24500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/14/e6e7fb8a-ed43-4c9c-91dc-56a81858bb6d.jpg.webp","LASF adalah bahan aditif cair yang digunakan untuk meningkatkan kemampuan pembentukan busa pada berbagai produk pembersih."
38,"Parfum Pewangi Laundry Grade A 5 Liter",205000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/14/e4d9e602-514c-42c7-9964-94bad56d3533.jpg.webp","Parfum pewangi laundry grade A memiliki kualitas tinggi dengan kandungan yang aman dan efektif dalam memberi aroma tahan lama pada pakaian."
39,"Essence Umpan Ikan Aroma Buah dan Amis 1 kg",235000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/14/ceb672f7-d83c-4420-91e8-baaee643d2cc.jpg.webp","Essence atau aroma khusus untuk umpan ikan memiliki berbagai manfaat untuk meningkatkan keberhasilan memancing."
40,"LASF Bahan Penambah Busa Sabun 5 Liter",110000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/de393fe2-4653-4e8d-93da-44dab892d2fc.jpg.webp","LASF adalah cairan kental yang digunakan sebagai bahan penambah pembusa pada berbagai produk pembersih."
41,"Deterjen Konsentrat Biang Sabun Laundry 6 kg",175000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/95026962-51ec-41a8-8855-1f83332779c1.jpg.webp","Deterjen konsentrat ini sangat praktis dan efisien untuk menghasilkan deterjen baru dalam jumlah besar."
42,"Parfum Gantung Pengharum Mobil Ruangan",6000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/8/e8ecbe46-77e3-40c0-9be5-13d66af4e490.jpg.webp","Parfum gantung dengan berbagai aroma cocok untuk mobil, kamar, atau lemari."
43,"Cetakan Sabun Mandi Batang Bundar",14500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/6/f39d804f-3c29-4c2f-b4a2-b3ff217e0b08.jpg.webp","Cetakan sabun bundar dengan desain menarik untuk menghasilkan sabun berbentuk rapi dan menarik."
44,"Laundry Bar Soap Sabun Padat 100 gr (3 pcs)",10000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/6/69eb9016-b455-486a-9af8-8e250d5d5209.jpg.webp","Sabun cuci padat 100 gram (3 pcs) cocok untuk mengatasi noda membandel pada pakaian."
45,"Bibit Parfum Aigner Blue dan Black",55000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/7/28/d6463e8f-a7fd-4b5e-bc91-40b666fbf02c.jpg.webp","Bibit parfum unggulan dari Aigner tersedia dalam varian Blue dan Black."
46,"Bibit Parfum Adidas Sport 100 ml",55000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/7/27/d8917354-ca5c-48fe-9963-a3dc9ef11a5a.jpg.webp","Bibit parfum Adid@s Sport dirancang untuk pria aktif dan energik."
47,"Bibit Parfum Body Jomalone English Pear",55000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/7/25/a2087aec-5b9d-4db7-a9e8-fb1211b34858.jpg.webp","Jo Malone English Pear adalah parfum unggulan dengan notes utama buah pir Inggris."
48,"Parfum Laundry Downy Black 5 L",135000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/7/20/dbc44640-e52c-4df4-a017-83b8dc6e5276.jpg.webp","Parfum laundry Downy Black untuk memberikan aroma segar dan tahan lama pada pakaian."
49,"Deodoran Parfum Natural Isi Ulang 1 Liter",14500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/7/17/9761928c-9a20-44fd-ad33-dfc9fd864b88.jpg.webp","Deodoran parfum natural isi ulang berbahan dasar tawas cocok untuk menjaga kesegaran badan."
50,"Essence Umpan Ikan Berbagai Aroma 50 ml",5000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/7/17/1b83aed0-c930-457e-956b-40d001863b79.jpg.webp","Essence umpan ikan adalah cairan aditif dengan berbagai macam varian aroma."
